Content,Emotion_actual,Emotion_predicted
should be finish but i m not color draw here i come,fun,worry
I m sorry at least it s Friday,sadness,worry
Day go by Have to wake up early again tomorrow,hate,worry
no way damn that suck B be you ok,neutral,neutral
have go away 4 the weekend I miss her already,worry,sadness
want to cuddle it out maybe play but have no one to do it with the bc be far away,neutral,worry
a nap after work no sleep right now The nap felt soo good but now it seem like a bad idea,worry,worry
i don t think so I WANT DETAILS,neutral,worry
Im sorry I don t think I stick out at least compare to what I use to look like,surprise,worry
what be the point of your twit on bgt i must be one of the only people you havent find a swap for depite the promise,neutral,worry
bike unknown trail with random bump big hill kid one beat up little girl Not a good day on the B family vacation,neutral,worry
why be you sad,surprise,sadness
what about me,surprise,worry
last night in A amp E ER Wife tangle wheel with Daughter amp hit the deck Dislocation amp fracture result,worry,neutral
hi Facebook what s wrong with you can t add photos,neutral,neutral
ketauan cabut nih gimana dong,neutral,neutral
That suck to hear I hate days like that,hate,sadness
don t ship out until October,neutral,neutral
I just want to sleep,sadness,worry
My public talk in July get cancel and I don t know why,worry,worry
do you get them from california vintage ahahah they have the BEST dress i want them but i dont have ebay,fun,worry
AAHH SOO SWEET I miss that age SOO MUCH,surprise,neutral
gcrush i be just think about how excite i be for you guy to move but then i realize how sad i be to see you go,sadness,worry
to have an increase on her salary,neutral,worry
case of swine flu,worry,worry
my 42nd write fuck i get less ideas every day and every day,sadness,worry
unnerve me wait for the Doc flip thru magazines,worry,sadness
bore without anyone to talk to but not tire enough for sleep,neutral,worry
oh i know how budget be,worry,worry
good God cramp,worry,sadness
yeah it be very very dry down here,sadness,worry
Maths and Science be the strongest for me i think dunno bout geography only do like 1 day of study for 1 2 a year of work,hate,worry
almost didn t sleep ain t finish anything I m close to cancel the Dokomi,worry,sadness
his twitastic fwiends,worry,worry
hate TweetDeck when it reach access limit,neutral,hate
soo tire want to crawl back into bed,worry,neutral
I ma need you to follow me real quick cause I can t DM you,neutral,neutral
that i wasn t include in the morcom garden quiz on facebook,worry,sadness
miss my mom quot May angels lead you in quot,sadness,sadness
I get a job cuz we need an apartment I m drink amp miss my lil punkin TEHE,worry,worry
be over and now it s time to get back to work,neutral,worry
always so sad when you watch the series finale no more green wing leave to watch,sadness,sadness
Hmm should have look at it a little more methinks,worry,worry
a new phone,empty,worry
piss me off and not let me follow ericka,sadness,worry
you all deeply,sadness,neutral
early again load to do but the sun out hurrah,happiness,neutral
I m sorry Andrew I wish there be something I could do,sadness,sadness
build fail something be not right in the big scheme of things,worry,sadness
wife can t get on the guest list for tomorrows show because it doesn t exist LAME I guess no wife at the show,neutral,neutral
You re cycle tho that s good Healthy eat Healthy and eat be a contradiction in term,relief,neutral
that will have to leave my beautiful apartment,sadness,sadness
yeah its still totally in the high 60s here soo notlooking forward to aug and sept up here,worry,worry
Sorry move back,neutral,worry
again I hate mornings So offensive,sadness,sadness
i realy can t sleep ughh,boredom,worry
o its feel like a hot box and no matter where i go in here it still feel like a hot box ice cream isn t work n e more,worry,worry
from home today my back be kill me Doctor and then physio after later today,sadness,worry
ima goodgirl I m not down with takin advantage,neutral,neutral
i wish i be at burn tree and try on dress,fun,worry
No it s not,neutral,neutral
ia so much i haven t really be happy with any of cook choices for single,worry,worry
no my school will start on June1 two days to go i still don t want l,empty,sadness
be I complete facebook quiz at this time of the morning especially a friday morning,surprise,neutral
I m try to sleep It s not work,empty,worry
Girls be confuse,sadness,neutral
impression of Silverlight sadly base on what I saw today it s quite problematic,neutral,worry
all the awesome weather because she be in a movie,relief,sadness
Not really sleepy bore be the right word again not much work,surprise,worry
